Sxc,Iy,Load to shear centre (X),Cw, (Mirrored section),J,G0,Beta,Lb,Centroid to load,X0,Input-sssss,Output
41824,416020,27.773,1329300000,5272500000,4238.2,73.491,-31.781,3.6,14.609,42.382,10545000000,4.06
41824,416020,27.773,1329300000,5272500000,4238.2,73.491,-31.781,4.2,14.609,42.382,10545000000,3.91
33223,128520,16.1682,239710000,775700000,3446,56.357,-4.1019,1.8,6.4108,22.579,1551400000,3.54
33223,128520,16.1682,239710000,775700000,3446,56.357,-4.1019,2.4,6.4108,22.579,1551400000,3.04
33223,128520,16.1682,239710000,775700000,3446,56.357,-4.1019,3,6.4108,22.579,1551400000,2.61
33223,128520,16.1682,239710000,775700000,3446,56.357,-4.1019,3.6,6.4108,22.579,1551400000,2.25
33223,128520,16.1682,239710000,775700000,3446,56.357,-4.1019,4.2,6.4108,22.579,1551400000,1.94
50182,450310,27.1506,1521900000,5418500000,6220.8,70.38,-27.347,1.8,15.1224,42.273,10837000000,5.4
50182,450310,27.1506,1521900000,5418500000,6220.8,70.38,-27.347,2.4,15.1224,42.273,10837000000,6.04
50182,450310,27.1506,1521900000,5418500000,6220.8,70.38,-27.347,3,15.1224,42.273,10837000000,5.48
50182,450310,27.1506,1521900000,5418500000,6220.8,70.38,-27.347,3.6,15.1224,42.273,10837000000,4.96
50182,450310,27.1506,1521900000,5418500000,6220.8,70.38,-27.347,4.2,15.1224,42.273,10837000000,4.48
39554,137210,16.6701,265070000,1012300000,4644.9,63.9342,-19.723,1.8,6.9519,23.622,2024600000,4.06
39554,137210,16.6701,265070000,1012300000,4644.9,63.9342,-19.723,2.4,6.9519,23.622,2024600000,3.5
39554,137210,16.6701,265070000,1012300000,4644.9,63.9342,-19.723,3,6.9519,23.622,2024600000,3.01
39554,137210,16.6701,265070000,1012300000,4644.9,63.9342,-19.723,3.6,6.9519,23.622,2024600000,2.59
39554,137210,16.6701,265070000,1012300000,4644.9,63.9342,-19.723,4.2,6.9519,23.622,2024600000,3.01
66855,693870,33.0358,4500700000,16182500000,4724.6,92.555,-11.608,1.8,15.5572,48.593,32365000000,7.43
66855,693870,33.0358,4500700000,16182500000,4724.6,92.555,-11.608,2.4,15.5572,48.593,32365000000,7.24
66855,693870,33.0358,4500700000,16182500000,4724.6,92.555,-11.608,3,15.5572,48.593,32365000000,6.66
66855,693870,33.0358,4500700000,16182500000,4724.6,92.555,-11.608,3.6,15.5572,48.593,32365000000,5.95
66855,693870,33.0358,4500700000,16182500000,4724.6,92.555,-11.608,4.2,15.5572,48.593,32365000000,5.68
